Shelfmark,Title,Dates,Language,Links
Harley Ch 45 B 30,Grant by Isabel d'Aubigny to Master Henry of Chesham of land and tenements in Cotes,Mid 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164418.0x000001
Harley Ch 45 E 33,"Confirmation by Matilda de Auberville, to the monks of Boxley Abbey, of her marsh in Kent",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172078323.0x000001
Harley Ch 47 H 37,Grant by Sibylla of Calna to Hugh de Marens of land in Burnham,Mid 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164425.0x000001
Harley Ch 50 B 23,"Confirmation by Liece, daughter of Ralph of Rouen, of a grant made by her mother to Southwark Priory",2nd half of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172078478.0x000001
Harley Ch 50 B 33,"Confirmation by Cecily, daughter of Sabeline, of a grant of rent made to Southwark Priory in 'Selda'",13th century,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164430.0x000001
Harley Ch 50 F 32,"Confirmation by Rohais, countess of Lincoln, of a grant by Ralph son of Gilbert to Kirkstead Abbey of land in Scampton",1149-1156,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164440.0x000001
Harley Ch 51 B 21,"Quitclaim by Alice of Haketorn, widow of Alexander Foliot, to Bullington Priory",13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164447.0x000001
Harley Ch 52 C 48,"Confirmation by Sibylla of Calna, widow, to Robert son of Richard of Derneford, of a grant by Beatrice Malherbe",13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164453.0x000001
Harley Ch 52 G 44,"Grant by Hawisa, daughter of Philip de Kima, to Bullington Priory, of land in Harmston",13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164459.0x000001
Harley Ch 53 B 12,"Grant by Ela, countess of Salisbury, to Nicholas Longspée, her son, of the manor of Edgware",1226-1237,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164465.0x000001
Harley Ch 54 B 26,"Grant by Walter de Neville and Cecily, his wife, to Bullington Priory of a fishpond",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164471.0x000001
Harley Ch 54 D 15,"Grant by Ela, countess of Warwick, widow, to Reading Abbey, of lands and tenements in Doddington",1280,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164479.0x000001
Harley Ch 57 B 42,"Record of payments on behalf of Joan de Valence, countess of Pembroke",1302,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358296.0x000001
Harley Ch 57 B 43,"Record of payments on behalf of Joan de Valence, countess of Pembroke",1301,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358304.0x000001
Harley Ch 57 B 44,"Record of payments on behalf of Joan de Valence, countess of Pembroke",1302,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358313.0x000001
Harley Ch 57 B 45,"Record of payments on behalf of Joan de Valence, countess of Pembroke",1302,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358324.0x000001
Harley Ch 57 B 46,"Record of payments on behalf of Joan de Valence, countess of Pembroke",1302,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358333.0x000001
Harley Ch 57 B 47,"Record of payments on behalf of Joan de Valence, countess of Pembroke",1302,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358342.0x000001
Harley Ch 83 A 1,"Grant of King Coenwulf of the Mercians (d. 821), to Swithnoth, comes",814,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164487.0x000001
Harley Ch 83 A 2,Will of Wulfgeat of Donington,Early 11th century,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164491.0x000001
Harley Ch 83 A 3,Lease of the community at Worcester to Fulder,2nd half of the 11th century,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164495.0x000001
Harley Ch 83 D 30,"Grant by Avicia, once the wife of Robert Blund, and Robert, their son, to Herent of Eresia, of land in Southwark",Early 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358357.0x000001
Harley Ch 83 F 45,"Grant by Tecent, widow of Maurice de Kelham, to Rufford Abbey, of land at Buggewant and elsewhere",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358364.0x000001
Harley Ch 84 D 15,"Chirograph between Biddlesden Abbey and William son of Gregory, concerning the rent of a mill and land pledged to Belasez of Oxford",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358378.0x000001
Harley Ch 84 I 22,"Quitclaim by Margery daughter of Isabel, daughter of Alulf of Merch, to Biddlesden Abbey, of land at Whitfield",Early 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358384.0x000001
Harley Ch 85 B 17,Grant by Lucy de Cokefield to Biddlesden Abbey of all her land in Charwelton,c 1200,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358396.0x000001
Harley Ch 86 B 5,"Grant by Petronilla, daughter of Alfred the Little, to William Cocaine, of 2 acres of land in Berkhamsted",Early 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358405.0x000001
Harley Ch 86 C 40,Grant by Matilda of Houghton to Biddlesden Abbey of salt rents in Hoilande and land in Houghton,3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181358414.0x000001
Harley Ch 112 C 27,"Grant by Margaret de Quincy, widow, countess of Winchester, to Ulverscroft Priory",1219-1235,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164289.0x000001
Harley Ch 112 G 53,Confirmation by Matilda de Chauz to Hugh Bard of a grant of land,Early 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165164295.0x000001
Harley MS 2,"Collection of historical and theological texts, including Elias of Evesham, 'Quadrilogus' of materials relating to Thomas Becket; Eustace of Faversham, Vita sancti Edmundi Cantuariensis;and William of Malmesbury, De Gesta Pontificum",4th quarter of the 12th century-2nd half of the 13th century,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100063647159.0x000001
Harley MS 12,"John the Deacon of Rome, Vita Gregorii Magni; Pseudo-Gregory, Versus sancti Gregorii papae; Vita S. Katherinae",2nd half of the 11th century-1st half of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100058108095.0x000001
Harley MS 46,Glossed Gospels of St Matthew and St Mark,4th quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056056646.0x000001
Harley MS 59,"Pseudo-Hegesippus, Historia Iosephi de Bello Iudaico et Excidio Urbis Hierosolymitanae",2nd or 3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059466858.0x000001
Harley MS 82,"Register of Reading Abbey; Usuard, Martyrology; 'Sir John Mandeville', Voyage d'outre mer",12th century- 14th century,"Greek, Ancient; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059470229.0x000001
Harley MS 101,"Origen, Commentarium in Canticum Canticorum; Hrabanus Maurus, De institutione clericorum",1150-1180,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059297570.0x000001
Harley MS 104,"Stephen Langton, Expositio Libri Duodecim Prophetarum; Gregory the Great, De Cura Pastorali; Richard of St- Victor, Allegoriae Novi Testamenti and De Oratione Dominica; Innocent III, De Missarum Mysteriis and Sermo VI",1st quarter of the 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059913789.0x000001
Harley MS 105,Compendium of saints' lives,2nd or 3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056033210.0x000001
Harley MS 107,"Ælfric, Grammar and Glossary; grammatical dialogue",2nd or 3rd quarter of the 11th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100058107225.0x000001
Harley MS 110,"Glossed copy of Prosper, Epigrammata ex sententiis S. Augustini; Versus ad coniugem; Isidore, Synonyma de lamentatione animae peccatricis; two leaves from a gradual",975-1050,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100060440080.0x000001
Harley MS 203,"Innocent III, De Officio Missae; Anselm of Canterbury's theological treatises",4th quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035130.0x000001
Harley MS 225,"Geoffrey of Monmouth, De Gestis Britonum; Epistre de Sibille",4th quarter of the 12th century,"French, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035227.0x000001
Harley MS 234,"Gospel of John, with marginal and interlinear Glossa Ordinaria",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059308516.0x000001
Harley MS 261,"William of Malmesbury, Gesta Regum Anglorum and Gesta Pontificum Anglorum; Henry of Saltrey, Tractatus de Purgatorio Sancti Patricii",4th quarter of the 12th century-1st quarter of the 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059309165.0x000001
Harley MS 303,Patents granted to Anne Boleyn as Marquess of Pembroke,1532-1533,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165167720.0x000001
Harley MS 334,"Gautier de Metz, L'image du monde",2nd quarter of the 15th century,"English, Middle; French, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100057740087.0x000001
Harley MS 337,"Miscellany, including a cartulary from St Augustine's, Canterbury",12th century- 14th century,Anglo- Norman; Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059910194.0x000001
Harley MS 402,Twelve collections (Distinctiones) of excerpts from Church Fathers and other authorities,2nd half of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100065012830.0x000001
Harley MS 436,Cartulary of Wilton Abbey,Middle of the 13th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165168727.0x000001
Harley MS 491,"William of Jumièges, Gesta Normannorum ducum",1st quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056057230.0x000001
Harley MS 526,"Bede, Vita Sancti Cuthberti metrica (BHL 2020); Vita Venerabilis Bedae (BHL1069); Vita Ædwardi Regis (BHL 2421); fragment of Aelred of Rievaulx's Vita Sancti Edwardi regis and confessoris (BHL 2423) and the papal commissioners' report on St Hugh of…",late 9th-14th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100060440765.0x000001
Harley MS 549,"Boethius, De institutione arithmetica",3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056057854.0x000001
Harley MS 603,Psalter (the 'Harley Psalter'),1st half of the 11th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165169769.0x000001
Harley MS 612,"Birgitta of Sweden, Liber Celestis Revelacionum, with tracts and documents relating to her canonisation",between 1435 and 1457,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100161512807.0x000001
Harley MS 624,Chronicles; Passionale (Lives of Saints); Historica collectanea,1100-1643,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100066415306.0x000001
Harley MS 628,Psalter with gloss in Latin,2nd or 3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059467266.0x000001
Harley MS 633,"Pseudo-Anastasius Bibliothecarius, Liber pontificalis; Pseudo-Isidore, Decretales pseudo-Isidorianae",4th quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059468560.0x000001
Harley MS 649,"Bede, In Canticum Canticorum Expositio; Venantius Fortunatus, Vita Sancti Radegundis; Bede, Expositio Actuum Apostolorum; Commentarius in Epistolas Canonicas; Homiliae Evangelii; In Tobiam; Anonymous sermons on Luke 11:33 and Luke 4:14",1st quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059468932.0x000001
Harley MS 651,"Eusebius of Caesarea, Chronici Canones; St Jerome, Continuation of Eusebius; Prosper of Aquitaine, Epitoma Chronicorum; Sigebert of Gembloux, Chronica; Robert de Torigni, Chronica; list concerning ecclesiastical dioceses; Chronicle from the creation…",3rd quarter 12th century- 4th quarter 14th century,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100064570095.0x000001
Harley MS 652,Homiliary; Lections from six lives of saints connected to St Augustine's abbey; Fragment from the homiliary attributed to Alan de Farfa,9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100058540020.0x000001
Harley MS 658,"Glossed Gospel of St John; Peter of Poitiers, Compendium Historiae in Genealogia Christi; Theological and computistical tracts; Richard of St Victor, Commentary on Joel and Nahum",4th quarter of 12th-1st half of the 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059469793.0x000001
Harley MS 863,Psalter ('The Leofric Psalter') with partial gloss in Old English,2nd half of the 11th century-12th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059910513.0x000001
Harley MS 865,"Ambrose, De Mysteriis and De Sacramentis;Jerome, Contra Jovinianum; and other theological works",4th quarter of the 11th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056059068.0x000001
Harley MS 874,Apocalypse in English with prose commentary,c 1340-1370,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100058663460.0x000001
Harley MS 913,The Kildare Lyrics,Mid 14th century,"English, Middle; French, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100161517925.0x000001
Harley MS 1117,Verses on the translation of Edward the Martyr; Bede's prose and verse Vitae sancti Cuthberti; excerpts from Bede's Historia Ecclesiastica; an office for St Cuthbert; a poem on Abbot Wigbeorht; offices of St Benedict and St Guthlac,c 1000,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100058107312.0x000001
Harley MS 1229,Missal,4th quarter of the 12th century - 1st quarter of the 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100062816232.0x000001
Harley MS 1246,Homiliary,3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056033316.0x000001
Harley MS 1251,"Book of Hours, Use of Sarum ('Hours of Eleanor Worcester')",c 1430-c 1440,"English; English, Middle; French; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172078624.0x000001
Harley MS 1321,Chansons from the cycles of William of Orange and Aimeri de Narbonne,1225-1275,"French, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100057738028.0x000001
Harley MS 1334,"Pseudo-Hegesippus, Historia Iosephi de Bello Iudaico et Excidio Urbis Hierosolymitanae",2nd half of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059307472.0x000001
Harley MS 1629,Prophecies de Merlin,2nd half of the 13th century,French,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100057738104.0x000001
Harley MS 1700,The Twelve Minor Prophets with marginal and interlinear glosses.,4th quarter of the 12th century-1st quarter of the 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056033330.0x000001
Harley MS 1709,Motets by English composers of the beginning of the 16th century. Medius part.,16th century,English,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100054741681.0x000001
Harley MS 1712,"Petrus Comestor, Sermones",12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056033404.0x000001
Harley MS 1717,"Benoît de Sainte-Maure, Chronique des ducs de Normandie",1st half of the 13th century,French,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100057740026.0x000001
Harley MS 1725,"Hildegard von Bingen, Collectio epistolarum and other texts",Early 16th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165165560.0x000001
Harley MS 1764,"The Knight of the Tower, an anonymous Middle English translation of Le Chevalier de La Tour Landry, by Geoffroy IV de la Tour-Landry",2nd quarter of the 15th century-3rd quarter of the 15th century,"English, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165166117.0x000001
Harley MS 1772,The Pauline Epistles including the Epistle of James; the Epistles of Peter; the Epistles of John and the Apocalypse; including medical charms,9th century- 11th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056033924.0x000001
Harley MS 1915,"The Eusebian canon tables; Zacharias of Besançon, De Concordia Evangelistarum; Bede, Expositio Super Acta Apostolorum; Bede, Retractatio in Actus Apostolorum; Victorinus of Pettau, Commentarius in Apocalypsim; Bede, Nomina Regionum atque Locorum de…",4th quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100063299806.0x000001
Harley MS 1916,"St Augustine, Tractatus in evangelium Iohannis and In epistulam Iohannis ad Parthos tractatus",1st half of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059307807.0x000001
Harley MS 1918,Homiliary with lectiones,1st half of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056034372.0x000001
Harley MS 1924,"Bede, Life of Cuthbert; Miracles of St Cuthbert",2nd or 3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035068.0x000001
Harley MS 2340,"Collection of treatises on hawking, including the 'J. B. Treatise'",1st half of the 15th century,"English, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100186243602.0x000001
Harley MS 2388,Of Three Arrows on Doomsday; Mirrour for Maydenes; The Five Wiles of King Pharaoh; Adam and Eve; Four Errors; A Sentence of Saint Bernard; Te Deum; Speculum Sacerdotis; Litera de Vita et Morte; Speculum Christiani (excerpts); Contra obstinatos;…,2nd half of the 15th century,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165166507.0x000001
Harley MS 2407,"Alchemical treatises, recipes and poems, including Arnaldus de Villa Nova, Account of the Philosopher's Stone; Geber, On the Virtue of the Planets and of the Philosopher's Stone; and John Lydgate, The Chorle and the Bird",2nd half of the 15th century,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100057740056.0x000001
Harley MS 2430,German prayer-book,16th century,"German, Middle High",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165166575.0x000001
Harley MS 2608,"Publius Papinius Statius, Thebais",2nd or 3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059308782.0x000001
Harley MS 2624,"Cicero, De inventione; Pseudo-Cicero, Rhetorica ad Herennium",1st quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035271.0x000001
Harley MS 2637,"Cassiodorus, Oratio (Institutiones 1, 32); Cassiodorus, Institutiones, book 2; added chants; Helisachar, Epistola ad Nibridium archiepiscopum Narbonensem; a list of verbs; Smaragdus, Liber in Partibus Donati",9th century- 10th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035277.0x000001
Harley MS 2652,"Cicero, Somnium Scipionis; Ambrosius Theodosius Macrobius, Commentary on Cicero's Somnium Scipionis; Calcidius, Commentary on Plato's Timaeus",4th quarter of the 11th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059309874.0x000001
Harley MS 2659,"Lucius Annaeus Seneca, Epistolae morales ad Lucilium; Pseudo-Seneca, Proverbia, Epistolae Senecae ad Paulum et Pauli ad Senecam; Epitaphium Senecae",2nd or 3rd quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035309.0x000001
Harley MS 2666,"Sextus Iulius Frontinus, Strategemata",2nd quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035465.0x000001
Harley MS 2674,"Priscian, Institutiones grammaticae",3rd quarter of the 9th century-10th century,"English, Old; Greek, Ancient; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035537.0x000001
Harley MS 2685,"Boethius, Consolatio philosophiae; Fulgentius Mythographus, Mythologiae; Fulgentius Mythographus, Expositio Virgilianae Continentiae; Martianus Capella, De nuptiis Philologiae et Mercurii",4th quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056035808.0x000001
Harley MS 2688,"A collection of fragments including Liutprand of Cremona, Antapodosis; a Miscellany; Quintus Horatius Flaccus Epodes; Quintus Horatius Flaccus Carmen saeculare; Quintus Horatius Flaccus Epistles; Quintus Horatius Flaccus Satires; Priscian,…",9th century- 12th century,"Greek, Ancient; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059909473.0x000001
Harley MS 2700,"Martial, Epigrams",12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059310143.0x000001
Harley MS 2713,"Isidore of Seville, Etymologiae (excerpts from books 1-2); Glosulae super Priscianum minorem; Boethius's commentary on Porphyry's Isagoge",9th century- 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056036209.0x000001
Harley MS 2719,"Nonius Marcellus, De Compendiosa Doctrina, with glosses",3rd quarter of the 9th century,"Breton; Greek, Ancient; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056036405.0x000001
Harley MS 2725,"Quintus Horatius Flaccus, Opera",4th quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056036869.0x000001
Harley MS 2729,"Frontinus, Strategemata, Paul the Deacon, Historia Romana",4th quarter of the 11th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100063647996.0x000001
Harley MS 2735,"Epitome libri Glossarum, with additions by Heiric of Auxerre",1st half of the 9th century,"Greek, Ancient; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056037106.0x000001
Harley MS 2736,"Marcus Tullius Cicero, De oratore; Lupus of Ferrières, Carmina 8; excerpts from Venantius Fortunatus's Carmina",2nd quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056038199.0x000001
Harley MS 2763,Priscian: Institutiones grammaticae (1- 16); Ausonius: Idyllium 20,11th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100059310831.0x000001
Harley MS 2767,"Vitruvius, De Architectura",1st quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056038850.0x000001
Harley MS 2790,"The Four Gospels ('The Gospels of St Cyriacus of Nevers', or 'The Gedeon Gospels of Nevers')",1st quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056039572.0x000001
Harley MS 2793,Psalter,1st half of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056040392.0x000001
Harley MS 2795,The Four Gospels,4th quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056040783.0x000001
Harley MS 2797,The Four Gospels,3rd quarter of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056041714.0x000001
Harley MS 2805,Bible,1st half of the 9th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056042404.0x000001
Harley MS 2823,The Four Gospels,2nd half of the 9th century,"French, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056043485.0x000001
Harley MS 2830,The Four Gospels,1st quarter of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100056044021.0x000001
